customer_id,age,gender,region,annual_income,tenure_months,subscription_tier,num_purchases_last_year,avg_order_value,total_spent_last_year,days_since_last_purchase,returns_last_year,email_open_rate,app_sessions_last_month,avg_session_duration_min,support_tickets_last_year,loyalty_points,referral_count,marketing_opt_in,churned
100058,28,Female,West,26300.0,38,Standard,6,95.26,571.56,114,0,0.158,13,3.9,0,628,0,0,1
100059,52,Female,South,59100.0,16,Premium,12,18.55,222.6,27,0,0.302,3,10.08,0,76,1,1,0
100060,18,Female,Central,15000.0,35,Standard,4,43.92,175.68,47,0,0.572,1,26.55,1,99,1,1,0
100061,35,Male,South,18900.0,21,Standard,5,54.16,270.8,32,1,0.141,9,6.58,1,335,1,1,0
100062,41,Female,Central,61100.0,26,Basic,7,45.97,321.79,85,0,0.608,1,2.93,0,275,1,1,1
100063,47,Male,Central,57600.0,34,Standard,9,34.16,307.44,70,1,0.424,9,3.2,0,189,0,1,0
100064,48,Female,Central,46400.0,1,Basic,7,10.42,72.94,110,0,0.47,10,7.14,0,205,2,0,1
100065,49,Male,North,71100.0,5,Basic,4,26.6,106.4,167,0,0.242,3,3.09,1,102,1,1,1
100066,34,Female,West,34300.0,22,Basic,5,87.35,436.75,22,1,0.404,11,5.21,0,188,2,0,1
100067,33,Female,West,34100.0,13,Standard,13,96.0,1248.0,35,0,0.537,4,10.19,1,520,0,0,0
100068,50,Male,South,47400.0,24,Basic,2,36.12,72.24,17,0,0.578,12,19.51,1,0,0,1,1
100069,37,Male,East,72700.0,27,Basic,4,27.82,111.28,8,0,0.464,3,0.99,3,135,0,1,1
100070,22,Female,East,35100.0,16,Basic,2,70.05,140.1,80,1,0.345,2,1.58,2,445,1,1,1
100071,24,Female,Central,,19,Standard,5,68.94,344.7,49,0,0.158,6,4.12,1,151,0,1,1
100072,27,Male,West,43100.0,11,Basic,7,42.87,300.09,76,1,0.628,6,5.87,0,5,1,0,1
100073,45,Female,South,27700.0,29,Standard,6,106.47,638.82,89,0,,9,20.4,1,0,1,0,1
100074,41,Female,East,41500.0,41,Premium,9,160.52,1444.68,56,0,0.485,4,0.5,0,988,0,1,0
100075,48,Female,North,62900.0,7,Standard,5,52.35,261.75,56,0,0.065,9,10.14,1,138,1,1,1
100076,33,Female,South,42200.0,40,Basic,4,40.23,160.92,19,1,0.563,3,15.95,0,106,1,1,0
100077,41,Male,West,80700.0,32,Standard,5,61.93,309.65,9,0,0.649,9,4.09,2,354,0,1,0
100078,47,Male,East,,38,Premium,7,57.26,400.82,89,0,0.219,12,3.38,1,263,2,0,1
100079,35,Male,West,57400.0,52,Standard,6,74.07,444.42,41,1,0.321,4,14.88,1,307,0,1,0
100080,45,Male,East,,16,Basic,6,10.29,61.74,93,0,0.523,16,2.78,3,39,1,0,1
100081,30,Female,South,41400.0,47,Standard,2,16.67,33.34,51,0,0.199,6,16.0,0,0,0,1,0
100082,34,Male,West,47700.0,52,Standard,7,79.95,559.65,2,0,0.446,4,12.03,1,494,2,0,0
100083,34,Female,North,39100.0,8,Premium,5,26.73,133.65,26,0,0.654,7,2.84,1,84,0,1,0
100084,23,Female,Central,15000.0,27,Basic,4,127.74,510.96,247,0,0.775,6,6.49,0,364,1,0,1
100085,45,Male,Central,58500.0,26,Premium,10,67.67,676.7,155,1,0.45,7,10.29,2,283,1,0,1
100086,33,Female,Central,48200.0,54,Standard,6,48.18,289.08,45,0,0.493,7,8.6,1,291,1,1,0
100087,39,Female,Central,56100.0,104,Standard,10,12.79,127.9,48,0,0.621,6,4.84,2,281,1,1,0
100088,45,Female,East,54500.0,38,Standard,8,15.31,122.48,275,1,0.222,9,8.67,1,111,0,0,1
100089,45,Male,East,67200.0,79,Basic,2,92.31,184.62,15,0,0.577,7,2.63,2,212,2,0,0
100090,48,Female,West,44400.0,14,Basic,2,9.1,18.2,78,1,0.325,14,7.96,0,243,0,0,1
100091,38,Male,South,67600.0,36,Basic,5,13.44,67.2,15,0,0.551,4,6.74,0,130,2,1,0
100092,33,Male,West,28400.0,24,Standard,3,62.97,188.91,36,0,0.361,4,0.5,0,202,1,1,0
100093,38,Male,North,45500.0,34,Standard,7,48.95,342.65,123,0,0.572,6,16.4,0,14,0,0,1
100094,18,Female,Central,37500.0,39,Premium,8,79.62,636.96,60,1,0.22,5,11.16,3,420,4,1,0
100095,20,Male,East,22700.0,43,Basic,2,63.83,127.66,55,1,0.114,10,10.02,1,69,0,1,1
100096,22,Female,West,42300.0,19,Standard,10,49.95,499.5,45,0,0.661,5,5.28,1,419,1,0,0
100097,26,Male,East,30800.0,22,Basic,4,39.2,156.8,3,0,0.472,3,5.59,0,0,0,1,0
100098,44,Male,East,54400.0,41,Standard,9,24.32,218.88,14,0,0.26,7,8.3,0,4,0,1,0
100099,27,Female,Central,34000.0,31,Basic,7,78.44,549.08,12,1,0.455,6,19.38,0,612,0,0,1
100100,34,Male,South,35100.0,15,Basic,5,5.0,25.0,51,1,0.681,13,3.62,1,166,0,1,1
100101,56,Male,South,95600.0,23,Basic,8,53.28,426.24,61,0,0.137,7,5.21,1,0,0,1,0
100102,34,Female,North,31400.0,49,Premium,14,182.41,2553.74,79,1,0.207,11,2.77,2,1406,1,0,1
100103,49,Female,East,25400.0,12,Standard,9,36.26,326.34,118,0,0.235,4,11.73,1,153,0,0,1
100104,27,Male,East,25300.0,24,Standard,6,58.0,348.0,33,0,0.63,14,16.0,2,344,1,1,0
100105,36,Male,East,46900.0,9,Basic,5,13.73,68.65,127,0,0.149,10,9.28,2,236,0,1,1
100106,27,Male,North,31300.0,52,Basic,5,44.33,221.65,34,1,0.338,2,7.89,0,243,0,1,0
100107,35,Female,North,58400.0,107,Premium,10,91.04,910.4,69,1,,8,9.12,4,615,0,1,0
100108,50,Male,Central,72200.0,61,Standard,5,9.07,45.35,114,0,,7,3.46,1,90,0,1,1
100109,18,Male,West,23500.0,17,Basic,5,48.2,241.0,104,0,0.571,3,11.53,0,294,0,1,1
100110,45,Male,North,30100.0,17,Premium,7,86.07,602.49,47,1,0.49,8,7.47,0,313,0,1,0
100111,42,Male,North,32800.0,50,Basic,5,44.56,222.8,8,0,0.283,8,10.47,2,192,0,1,0
100112,31,Female,North,39900.0,46,Standard,4,50.84,203.36,57,1,0.159,4,22.0,1,22,0,1,0
100113,20,Male,West,15000.0,66,Basic,5,55.74,278.7,14,0,0.206,4,10.32,0,47,1,1,0
100114,40,Female,West,43800.0,25,Premium,3,49.59,148.77,125,1,0.686,7,5.48,0,183,0,0,1
100115,32,Female,East,61200.0,10,Premium,9,61.32,551.88,35,0,0.53,11,5.07,1,316,1,1,0
100116,42,Male,East,55600.0,26,Basic,5,36.2,181.0,14,0,0.081,5,7.95,1,209,1,1,0
100117,39,Female,Central,48600.0,23,Premium,15,178.74,2681.1,7,1,0.617,1,3.34,1,1411,0,1,0
100118,60,Female,South,53300.0,93,Premium,12,63.77,765.24,6,0,0.321,6,13.36,2,332,1,0,0
100119,36,Female,South,47600.0,39,Standard,2,24.36,48.72,25,0,0.128,15,17.7,0,0,0,0,0
100120,26,Male,South,32000.0,5,Standard,12,18.16,217.92,109,2,0.498,17,3.14,0,617,0,1,1
100121,41,Non-binary,Central,53200.0,40,Standard,8,44.27,354.16,16,0,0.144,14,2.6,0,93,0,0,0
100122,42,Female,East,61000.0,52,Basic,5,29.42,147.1,10,0,0.646,3,3.41,0,0,1,0,0
100123,57,Female,East,77600.0,47,Basic,6,45.11,270.66,29,0,0.151,3,6.62,1,201,1,1,0
100124,50,Male,West,60200.0,45,Basic,1,17.97,17.97,11,0,0.175,11,14.91,0,53,0,0,0
100125,44,Female,North,59900.0,30,Basic,4,31.1,124.4,27,0,0.607,7,13.78,0,200,1,0,0
100126,58,Non-binary,South,58800.0,22,Standard,7,78.19,547.33,6,1,0.571,6,12.83,0,368,0,1,0
100127,24,Male,East,49600.0,10,Basic,9,92.95,836.55,40,0,0.786,3,7.52,0,401,3,0,1
100128,31,Female,Central,27900.0,69,Standard,3,13.3,39.9,51,0,0.372,3,3.35,2,178,2,1,1
100129,27,Male,North,33600.0,37,Standard,12,46.83,561.96,21,2,0.299,5,4.09,0,110,3,0,0
100130,34,Female,South,60500.0,17,Basic,4,38.62,154.48,106,0,0.106,5,12.67,0,257,0,1,1
100131,21,Male,Central,24100.0,28,Basic,4,17.93,71.72,192,0,0.501,2,17.85,1,64,1,0,1
100132,47,Female,West,,10,Standard,5,23.18,115.9,2,1,0.409,9,8.88,1,282,1,0,1
100133,36,Male,East,39300.0,28,Premium,8,65.31,522.48,29,1,0.226,5,5.03,0,227,0,1,0
100134,20,Male,South,49400.0,57,Standard,5,97.29,486.45,24,1,0.579,7,15.33,1,444,0,1,0
100135,26,Male,North,15000.0,40,Premium,8,106.38,851.04,135,0,0.274,10,19.75,1,524,0,1,1
100136,43,Male,South,53200.0,51,Premium,17,40.8,693.6,41,0,0.675,2,9.71,2,499,2,1,0
100137,50,Female,South,49500.0,48,Standard,6,71.84,431.04,1,0,0.492,5,1.85,2,459,1,0,0
100138,65,Male,West,70300.0,35,Standard,5,6.08,30.4,78,0,0.275,2,10.62,3,118,1,1,1
100139,77,Male,West,79200.0,23,Standard,5,25.66,128.3,5,0,0.159,10,1.38,1,170,0,1,0
100140,44,Female,West,66100.0,20,Basic,4,9.79,39.16,30,0,0.09,3,6.6,0,0,3,1,0
100141,26,Female,North,36400.0,66,Basic,1,39.86,39.86,39,0,0.577,11,8.02,0,83,0,1,0
100142,18,Female,South,42100.0,38,Basic,6,24.65,147.9,23,0,0.258,6,10.45,1,0,0,0,0
100143,42,Female,West,68800.0,36,Basic,5,41.06,205.3,93,0,0.518,9,7.14,0,245,1,0,1
100144,28,Male,North,37900.0,37,Basic,6,95.33,571.98,130,0,0.232,9,2.22,2,413,0,1,1
100145,34,Female,North,38200.0,21,Basic,5,5.0,25.0,51,1,0.659,15,13.28,0,216,2,0,1
100146,31,Male,South,45600.0,34,Standard,3,59.01,177.03,32,0,0.411,0,12.45,0,351,0,1,0
100147,37,Non-binary,North,54000.0,16,Basic,4,25.44,101.76,115,0,0.355,2,4.21,1,41,0,1,1
100148,53,Female,North,45100.0,18,Standard,7,34.71,242.97,60,0,0.608,1,18.56,0,304,0,1,0
100149,41,Male,South,53200.0,41,Basic,6,24.11,144.66,0,0,0.706,16,12.06,4,280,0,1,0
100150,37,Female,Central,42500.0,37,Basic,4,32.37,129.48,84,0,0.487,6,19.19,0,79,2,0,1
100151,26,Female,North,29700.0,42,Basic,3,5.0,15.0,28,0,0.266,4,4.14,1,0,1,1,0
100152,18,Female,East,,46,Standard,5,42.8,214.0,76,1,0.296,16,2.46,1,225,1,0,1
100153,33,Female,East,33500.0,21,Basic,10,37.71,377.1,31,0,0.297,12,3.61,2,385,1,1,0
100154,38,Female,East,64600.0,26,Premium,13,86.89,1129.57,16,1,0.502,21,3.06,1,784,2,1,0
100155,62,Female,East,64700.0,40,Standard,13,8.97,116.61,10,1,0.545,4,10.68,0,113,1,0,0
100156,41,Female,North,65900.0,14,Standard,6,18.93,113.58,37,0,0.589,3,15.52,1,0,1,1,0
100157,52,Female,North,62100.0,1,Basic,5,74.66,373.3,50,0,0.093,4,2.64,1,90,0,1,1
100158,33,Male,East,26400.0,7,Premium,12,116.46,1397.52,23,1,0.188,9,4.08,0,774,1,1,0
100159,24,Female,Central,36400.0,18,Basic,7,49.88,349.16,39,1,,3,14.15,0,469,0,1,0
100160,26,Male,South,19000.0,22,Premium,6,16.59,99.54,31,0,0.228,12,3.97,1,51,1,1,0
100161,30,Male,East,47900.0,33,Basic,3,39.88,119.64,27,0,0.242,4,15.69,0,151,1,1,0
100162,67,Male,Central,71600.0,53,Premium,11,59.05,649.55,16,1,0.289,5,13.42,3,353,1,1,0
100163,28,Male,West,49500.0,23,Premium,7,96.01,672.07,74,1,0.762,2,7.84,2,302,1,1,0
100164,50,Male,West,78500.0,17,Basic,8,21.45,171.6,2,1,0.526,3,8.04,0,365,1,1,0
100165,27,Male,East,15000.0,10,Basic,6,63.17,379.02,19,0,0.179,1,8.06,2,51,0,0,1
100166,51,Male,Central,52900.0,15,Standard,6,52.26,313.56,49,0,0.221,4,4.65,2,186,3,1,1
100167,44,Non-binary,East,35800.0,15,Standard,3,11.36,34.08,6,0,0.179,8,10.84,1,327,2,0,0
100168,37,Female,West,76300.0,29,Basic,1,10.14,10.14,201,0,0.281,9,13.04,2,0,0,0,1
100169,38,Male,West,40800.0,15,Standard,6,26.39,158.34,19,2,0.616,9,9.69,2,462,2,0,1
100170,30,Male,South,21000.0,21,Premium,13,318.95,4146.35,85,0,0.425,0,3.26,1,2314,0,1,0
100171,45,Female,Central,85000.0,19,Premium,11,114.22,1256.42,53,1,0.365,9,10.69,1,719,0,1,0
100172,33,Male,Central,32100.0,27,Basic,5,41.64,208.2,17,0,0.649,8,23.14,0,275,0,1,0
100173,23,Male,East,15000.0,39,Standard,3,156.89,470.67,9,0,0.355,13,6.78,1,130,0,0,0
100174,22,Male,South,,34,Standard,5,63.3,316.5,35,0,0.286,8,22.47,1,341,0,1,0
100175,41,Female,West,51900.0,13,Basic,4,39.02,156.08,104,0,0.44,7,5.63,1,0,1,0,1
100176,60,Female,South,68500.0,18,Basic,5,29.07,145.35,6,0,0.483,8,0.5,2,93,1,0,0
100177,41,Female,East,38100.0,44,Basic,4,12.44,49.76,255,0,0.388,6,5.33,0,130,0,0,1
100178,37,Male,North,,50,Basic,4,37.05,148.2,5,0,0.633,3,6.38,0,212,0,0,0
100179,43,Male,West,,9,Standard,9,22.46,202.14,29,0,0.284,8,11.85,1,0,3,1,1
100180,56,Male,Central,,8,Basic,6,25.61,153.66,26,0,0.663,16,4.39,0,12,0,1,0
100181,42,Female,North,,68,Standard,5,63.4,317.0,47,1,0.473,5,10.51,5,267,0,0,1
100182,34,Female,West,35300.0,10,Standard,11,16.59,182.49,23,1,0.406,9,7.29,0,268,0,1,0
100183,53,Male,Central,58100.0,14,Basic,2,34.63,69.26,153,1,0.507,10,9.37,2,256,1,0,1
100184,45,Male,North,64400.0,21,Basic,7,17.58,123.06,106,2,0.583,5,16.67,1,0,1,0,1
100185,59,Male,South,90500.0,14,Basic,4,83.66,334.64,100,1,0.355,8,12.14,0,317,0,1,1
100186,41,Female,South,34400.0,15,Standard,6,82.39,494.34,50,0,0.266,6,8.36,0,279,1,1,1
100187,23,Female,West,48300.0,15,Basic,6,19.92,119.52,17,1,0.086,14,0.73,1,181,0,1,0
100188,21,Male,East,26500.0,29,Standard,12,71.11,853.32,55,0,0.4,3,18.45,2,508,1,1,0
100189,60,Male,North,45200.0,6,Standard,9,108.84,979.56,38,1,0.241,4,13.27,4,389,0,1,1
100190,61,Female,South,43300.0,44,Standard,2,75.9,151.8,12,0,0.637,8,1.19,1,305,0,1,0
100191,37,Male,East,64700.0,8,Basic,6,42.92,257.52,41,1,0.253,7,9.63,0,351,0,0,1
100192,34,Male,North,63500.0,63,Premium,9,76.32,686.88,36,1,0.14,12,24.59,1,585,1,0,0
100193,58,Male,East,58000.0,18,Basic,5,20.47,102.35,35,0,0.631,10,8.69,3,37,1,0,0
100194,25,Female,North,31700.0,17,Standard,10,44.17,441.7,56,3,0.294,7,6.29,0,155,1,1,1
100195,27,Female,West,15000.0,5,Standard,6,14.06,84.36,73,0,0.746,7,0.5,0,468,1,1,1
100196,47,Male,West,66200.0,5,Premium,8,12.54,100.32,32,2,0.609,10,6.85,0,240,1,0,1
100197,34,Male,Central,42800.0,25,Standard,7,56.09,392.63,17,2,0.545,16,17.77,0,324,0,0,0
100198,39,Non-binary,North,26200.0,5,Standard,1,65.41,65.41,39,0,0.445,15,23.01,1,0,2,0,1
100199,37,Male,East,48900.0,14,Standard,4,19.1,76.4,42,0,0.678,6,14.88,1,51,1,1,1
100200,43,Female,West,32300.0,37,Standard,10,33.98,339.8,6,0,0.281,4,4.8,1,203,1,1,0
100201,57,Female,East,72900.0,28,Standard,7,30.37,212.59,29,0,0.312,3,1.01,0,300,0,1,0
100202,40,Female,North,33700.0,20,Standard,9,85.88,772.92,18,1,0.403,14,9.79,0,489,1,1,0
100203,47,Male,North,60300.0,26,Standard,7,65.51,458.57,123,1,0.322,5,6.97,4,281,0,1,1
100204,18,Female,East,18900.0,38,Standard,6,120.37,722.22,47,0,0.392,4,1.63,1,450,1,1,0
100205,38,Male,East,15000.0,18,Standard,10,21.86,218.6,0,1,0.742,9,2.46,1,0,1,1,0
100206,28,Male,Central,51400.0,43,Basic,11,54.55,600.05,52,2,0.714,3,0.93,2,0,1,1,1
100207,23,Non-binary,West,47500.0,25,Standard,7,31.62,221.34,12,1,0.905,2,10.71,3,0,0,1,1
100208,28,Male,West,30200.0,49,Standard,6,136.49,818.94,156,1,0.775,12,10.19,2,642,5,0,1
100209,35,Male,Central,48000.0,26,Standard,6,115.31,691.86,9,0,0.08,5,6.64,2,229,0,1,0
100210,51,Male,West,65500.0,8,Standard,7,32.7,228.9,10,0,0.338,6,8.74,1,230,1,1,0
100211,22,Non-binary,North,38400.0,14,Basic,7,36.71,256.97,18,1,0.721,8,13.54,0,67,1,1,0
100212,39,Female,North,72100.0,24,Basic,6,35.75,214.5,39,0,0.655,5,12.37,1,470,0,1,0
100213,33,Female,West,48100.0,104,Standard,7,47.0,329.0,14,0,0.305,12,18.6,0,193,0,1,0
100214,35,Non-binary,South,39100.0,13,Basic,5,64.66,323.3,3,1,0.149,8,2.62,1,108,0,0,0
100215,52,Male,Central,66300.0,88,Basic,9,51.89,467.01,26,1,0.674,2,17.15,1,324,0,1,0
100216,46,Male,North,48600.0,46,Premium,10,153.9,1539.0,6,0,0.621,15,10.76,1,1023,1,0,0
100217,56,Female,North,49200.0,47,Basic,6,48.96,293.76,9,0,0.678,6,16.98,0,183,0,1,0
100218,37,Male,West,63100.0,38,Basic,5,39.82,199.1,9,0,0.719,3,9.9,2,86,0,0,0
100219,30,Male,West,46900.0,83,Basic,0,78.85,0.0,4,0,0.318,5,27.19,0,298,1,0,0
100220,36,Male,Central,19000.0,15,Basic,3,15.37,46.11,162,0,0.099,9,2.04,0,73,2,1,1
100221,42,Female,North,41200.0,45,Basic,9,31.48,283.32,24,0,0.295,13,6.27,1,469,2,1,0
100222,41,Male,South,60500.0,9,Basic,6,39.16,234.96,159,1,0.527,8,5.37,0,493,1,0,1
100223,25,Male,East,15000.0,15,Basic,6,97.33,583.98,26,0,0.402,15,7.77,1,412,0,1,0
100224,40,Male,Central,38400.0,40,Premium,2,42.09,84.18,30,1,0.114,3,8.89,2,0,0,0,0
100225,42,Female,South,88100.0,48,Standard,10,21.97,219.7,139,0,0.124,8,16.58,0,146,0,1,1
100226,72,Male,East,74700.0,33,Basic,3,24.15,72.45,21,0,0.582,7,10.39,4,217,2,1,1
100227,63,Female,North,85900.0,4,Premium,18,53.61,964.98,36,0,0.241,6,11.11,0,432,1,1,1
100228,28,Female,West,58500.0,13,Standard,10,76.0,760.0,15,0,0.322,11,2.7,0,771,0,1,0
100229,35,Female,North,31400.0,8,Basic,5,5.0,25.0,19,0,0.264,5,2.98,1,63,0,1,1
100230,20,Male,Central,33600.0,23,Basic,6,100.12,600.72,16,0,0.606,9,2.79,0,264,0,1,0
100231,31,Male,North,69200.0,8,Basic,3,13.61,40.83,2,0,0.713,8,3.03,1,262,1,1,0
100232,43,Female,West,58200.0,15,Standard,5,174.1,870.5,69,0,0.537,4,6.54,3,457,0,0,1
100233,55,Female,West,96300.0,15,Standard,8,58.69,469.52,83,1,,6,16.61,1,443,2,1,1
100234,30,Female,South,30500.0,55,Standard,7,22.02,154.14,0,1,0.508,2,6.35,1,264,0,1,0
100235,30,Female,South,64600.0,16,Standard,7,23.62,165.34,47,0,0.383,8,2.27,0,227,0,1,0
100236,18,Male,East,28200.0,87,Basic,8,135.6,1084.8,5,1,0.377,5,9.0,0,689,2,1,0
100237,37,Female,East,41500.0,18,Basic,4,31.25,125.0,42,0,0.232,13,0.55,0,151,1,1,1
100238,25,Female,West,43600.0,36,Standard,2,44.11,88.22,107,0,0.631,6,6.08,1,0,0,1,1
100239,32,Non-binary,East,39700.0,30,Basic,6,52.28,313.68,115,0,0.642,19,13.98,0,361,1,1,1
100240,28,Female,North,36300.0,27,Basic,2,41.57,83.14,34,0,0.711,3,16.6,1,0,0,1,1
100241,38,Male,Central,53800.0,45,Basic,2,31.56,63.12,43,0,0.323,18,8.18,0,492,1,0,1
100242,18,Male,North,15000.0,24,Standard,4,49.06,196.24,8,1,0.36,4,6.96,1,0,0,1,0
100243,20,Male,East,18700.0,15,Standard,8,75.75,606.0,14,0,0.591,2,5.9,1,389,0,1,0
100244,67,Male,Central,84700.0,40,Basic,7,47.52,332.64,111,0,0.426,5,11.1,1,496,0,0,1
100245,22,Female,Central,45700.0,11,Basic,8,84.74,677.92,84,0,0.466,8,9.45,2,431,0,1,1
100246,25,Male,North,39700.0,19,Standard,8,49.58,396.64,1,0,0.564,6,17.58,1,473,1,0,0
100247,63,Male,South,74600.0,45,Standard,5,78.45,392.25,34,1,0.523,4,12.91,0,362,0,1,1
100248,77,Female,East,89700.0,22,Standard,7,97.67,683.69,186,1,0.629,2,1.62,0,449,2,1,1
